N.;Comune;Località;Titolare Concessione;Tipologia concessoria (L.R. 13/2007 e R.R. n. 11/2009);N. Concess. Data rilascio;Denominazione;Superficie scoperta mq.;Opere facile rimozione mq.;Opere difficile rimozione mq.;Pertinenze  mq.;Totale superficie coperta mq.;Fronte mare metri lineari;Specchio acqueo mq.
17;MINTURNO;LUNGOMARE;RENATO CAMEROTA;SB;Conc. N. 26/2003;LIDO ORIENTE;3658,45;;1174,65;167;1341,65;122;
18;MINTURNO;LUNGOMARE;LIDO TIRRENO SAS;SB;Conc. N. 71/2007;LIDO TIRRENO;4696,25;;334,45;269,3;603,75;98,4;
19;MINTURNO;LUNGOMARE;GESTIMAR Srl;SB;Conc. N. 28/2003;LIDO MARIA;2544,57;;322,94;172,49;495,43;95,3;
20;MINTURNO;LUNGOMARE;FARINA ANNA MARIA e C SAS;SB;Conc. N. 07/2003;LIDO D'ARGENTO;4645,66;100;401,34;253;754,34;120;
21;MINTURNO;LUNGOMARE;GIUSEPPE CONTE;SB;Conc. N. 25/2003;LIDO IL GABBIANO;4105,5;63,65;323,5;107,35;494,5;100;
22;MINTURNO;LUNGOMARE;SALVATORE TARTAGLIA;SB;Conc. N. 61/2006;LIDO MARIO;3901,14;;543,36;55,5;598,86;100;
23;MINTURNO;LUNGOMARE;LIDO LA BUSSOLA SAS;SB;Conc. N. 64/2006;LIDO LA BUSSOLA;3907,66;;757,89;84,45;842,34;90,5;
24;MINTURNO;MONTE D'ARGENTO;FILIPPO CAMEROTA;SB;Conc. N. 49/2014;LIDO TOPLESS;400;;;;;100;
25;MINTURNO;MONTE D'ARGENTO;FRANCESCA SILVESTRI;SB;Conc. N. 13/1999;LIDO RENDEZ VOUS;663;129;;48;177;70;
26;MINTURNO;LUNGOMARE SCAURI;DI MARE GROUP SRL;SB;Conc. N. 51/2014;LIDO SCAURI;5297,6;;1342,11;70,29;1412,4;110;
27;MINTURNO;MONTE D'ARGENTO;MARIA ROSSI;SB;Conc. N. 33/2004;LIDO TAHITI;1537,34;;528,35;134,31;662,66;100;
28;MINTURNO;LUNGOMARE SCAURI;LIDO ITALIA SRL;SB;Conc. N. 41/2012;LIDO ITALIA;4285,88;72,25;398,77;157,1;628,12;78;
29;MINTURNO;MONTE D'ARGENTO;DE VELLIS ENZO & C SAS;SB;Conc. N. 16/2009;LIDO IL RAGNO;1200;;;;;100;
30;MINTURNO;PANTANO ARENILE;MARINA BEACH SNC DI CORRENTE ANNA & C;SB;Conc. N. 04/2008;LIDO MARINA BEACH;350;;;;;100;
31;MINTURNO;LUNGOMARE;DANIELE FRANCHI;SB;Conc. N. 26/2010;LIDO OASI;1410;;140;10;150;30;
32;MINTURNO;LUNGOMARE MONTE D'ORO;ANNA TERINO;SB;Conc. N. 19/2003;LIDO LA TINTARELLA;1336,33;75,75;180,73;73,19;329,67;28;
33;MINTURNO;LUNGOMARE;BRUNO SCARPA;ER;Conc. N. 34/2011;CHIOSCO BAR PLAYER;;;8;12;20;;
34;MINTURNO;MONTE D'ARGENTO;LIDIA CAIAZZO;ER;Conc. N. 44/2013;CHIOSCO BAR;;;36;9;45;;
35;MINTURNO;LUNGOMARE;LUIGI E RAFFAELE SORRECA;ER;Conc. N. 21/2003;CHIOSCO BAR PIPPETTO;;;120,59;12,01;132,6;;
36;MINTURNO;LUNGOMARE;GIUSEPPE E MARIANO PALMIERI;ER;Conc. N. 05/2008;CHIOSCO BAR L'ANCORETTA;;;;99,18;99,18;;
37;MINTURNO;MONTE D'ORO;TOBIA MALLOZZI;ER;Conc. N. 16/2003;CHIOSCO BAR LO SCOGLIO;;;45;155;200;;
38;MINTURNO;MONTE D'ARGENTO;LIDIA CAIAZZO E GIUSEPPE FEDELE SNC;ER;Conc. N. 36/2004;CHIOSCO BAR BAIA D'ARGENTO;;;19,3;22,5;41,8;;
