N.;Comune;Località;Titolare Concessione;Tipologia concessoria (L.R. 13/2007 e R.R. n. 11/2009);N. Concess. Data rilascio;Denominazione;Superficie scoperta mq.;Opere facile rimozione mq.;Opere difficile rimozione mq.;Pertinenze  mq.;Totale superficie coperta mq.;Fronte mare metri lineari;Specchio acqueo mq.
69;ROMA - X MUNICIPIO;PIAZZALE CRISTOFORO COLOMBO, 25;LA TURISTICA SRL;SB;Conc. N. A.F. 6/2003;STAB. BAL. LA ROTONDA;6625,27;2619,41;292,14;;2911,55;90,65;
70;ROMA - X MUNICIPIO;L MARE CAIO DUILIO, 22;A.E.B. ESERCIZI BAGNI SRL;SB;Conc. N. 5/2014;STAB. BAL. LE DUNE;5837,82;2376,84;2388,34;122;4887,18;210;
71;ROMA - X MUNICIPIO;L.MARE P. TOSCANELLI, 211;Di MARARO S.R.L.;SB;Conc. N. 1/2014;STAB. BAL. EL MIRAMAR;7208;1106;338;;1444;106;
1;SABAUDIA;STRADA LUNGOMARE, Km 20,900;SOC. SI.STE;SA;Conc. N. n. 09/2009;LE SIRENE;2100;;;;;100;
2;SABAUDIA;STRADA LUNGOMARE, Km 24,350;EREDI TEDESCO ALFONSO;SA;Conc. N. n. 19/2005;MARELANDIA;400;;;;;40;
3;SABAUDIA;STRADA LUNGOMARE, Km 28,000;SOC. SOGECA TOUR;SA;Conc. N. n. 6/2009;CAMPING SABAUDIA;400;;;;;50;
4;SABAUDIA;STRADA LUNGOMARE, Km 28,750;SOC. ALINNIA;SA;Conc. N. n. 4/2008;FUORI ROTTA;2000;;;;;200;
5;SABAUDIA;STRADA LUNGOMARE, Km 29,100;SOC. LA GIUNCA SNC DI BEONI R. & C.;SB;Conc. N. n. 10/2009 e n. 01/AR/2011;LA GIUNCA;1227;73;;;73;130;
6;SABAUDIA;STRADA LUNGOMARE, Km 29,160;SOC. LO SCOGLIO;SB;Conc. N. n. 11/2009;RISTORANTE LO SCOGLIO;1800;;;;;100;
7;SABAUDIA;STRADA LUNGOMARE, Km 29,300;GANGI MARIO;SB;Conc. N. n. 03/2008;LA CARAVELLA;1300;;;;;130;
8;SABAUDIA;STRADA LUNGOMARE, Km 29,500;SOC. DELIADA 89;SA;Conc. N. n. 02/2009;DELIADA;840;160;;;160;100;
9;SABAUDIA;STRADA LUNGOMARE, Km 29,600;SOC. CO.AL.SA;SA;Conc. N. n. 04/2009;IL LIDO;817;182,88;;;182,88;100;
10;SABAUDIA;STRADA LUNGOMARE, Km 29,800;SOC. OASI DI KUFRA;SR;Conc. N. n. 01/2008;OASI DI KUFRA;3600;;;;;200;
11;SABAUDIA;STRADA LUNGOMARE, Km 29,600;SOC. RT - CALA DI LUNA;SA;Conc. N. n. 07/2009;ARAGOSTA/CALA DI LUNA;1211,7;178,3;;;178,3;64,5;
12;SABAUDIA;STRADA LUNGOMARE, Km 29,950;LAGUNA BLUE SRL;SA;Conc. N. n. 08/2009;TERRAZZA BEACH;891,98;108,02;;;108,02;100;
13;SABAUDIA;STRADA LUNGOMARE, Km 30,200;COMUNE DI SABAUDIA/ Affidato;SA;Conc. N. n. 09/2004;LA CAPANNA;960;40;;;40;100;
14;SABAUDIA;STRADA LUNGOMARE, Km 30,310;RESTANTE DANIELE E M. CONCETTA;SB;Conc. N. n. 01/2009;SOC. LIDO AZZURRO c/o RESTANTE D.;1200;;;;;120;
15;SABAUDIA;STRADA LUNGOMARE, Km 30,450;COMUNE DI SABAUDIA/ Affidato;SA;Conc. N. n. 10/2004;IANNONE BEACH BREACK;960;40;;;40;100;
16;SABAUDIA;STRADA LUNGOMARE,  16   (appr.le al Km 30,600);LE DUNE SPA;SR;Conc. N. n. 02/2008;LE DUNE;5121,04;73,96;;;73,96;200;
17;SABAUDIA;STRADA LUNGOMARE, Km 31,500;CAPITANUCCI SRL;SA;Conc. N. n. 01/2012;DUNA 31.5;794,81;203,22;;;203,22;100;
18;SABAUDIA;STRADA LUNGOMARE, Km 32,000;SOC. DA TONY LA MAGA CIRCE;SA;Conc. N. n. 05/2009  e 01/AR/2009;TONY LA MAGA CIRCE;917;382,95;;;382,95;130;
19;SABAUDIA;STRADA LUNGOMARE, Km 32,600;SOC. LA SPIAGGIA DI CARBONELLI A e P;SB;Conc. N. n. 03/2009;LA SPIAGGIA;1500;;;;;150;
20;SABAUDIA;STRADA LUNGOMARE, Km 33,600;SOC. SAP (LILANDA');SA;Conc. N. n. 18/2003;LILANDA';500;;;;;50;
21;SABAUDIA;STRADA LUNGOMARE, Km 34,500;NARDI MARZIA E ARIANNA/CALISI LUCIANO;SA;Conc. N. n. 08/2004 e n.11/2004;LE STREGHE/SALGUEIRO;960;40;;;40;100;
22;SABAUDIA;STRADA LUNGOMARE, Km T. Paola;SOC. SAPORETTI A RL;SB;Conc. N. n.05/2008;BAIA D'ARGENTO;5977,49;522,51;;;522,51;370;
1;SAN FELICE CIRCEO;VIA DON MOROSINI, 41;SOC. DI LELLO PAOLO & C. SAS;SB;Conc. N. 177/2009;POSEIDON;4263,08;590,85;67,86;;658,71;63;
2;SAN FELICE CIRCEO;VIALE EUROPA;MARIA SCIO;SR;Conc. N. 160/2008;HOTEL LE PLEIADI;630;;;;;15;
3;SAN FELICE CIRCEO;VIA AMMIRAGLIO BERGAMINI, 7;SOC. VI.GE.DAL SRL;SR;Conc. N. 134/2008;HOTEL MAGA CIRCE;1779,98;;1779,98;;1779,98;;
4;SAN FELICE CIRCEO;LUNGOMARE CIRCE, 40;SOC. NAUTIRAMA SRL;SB;Conc. N. 133/2008   Sub. 213/014;MIRAMARE;5589,34;244,86;1082,8;;1327,66;133;
5;SAN FELICE CIRCEO;VIALE EUROPA, 4;SOC. LIDO DEL CIRCEO SNC;PO;Conc. N. 130/2008;LIDO DEL CIRCEO;1400;;559;;559;135;2000
6;SAN FELICE CIRCEO;VIA M. EMILIO LEPIDO, 42;ERMANNO MATACCHIONI;SB;Conc. N. 198/2012;NEANDERTHAL;4551,81;368,78;453,41;236,76;1058,95;83;3555
7;SAN FELICE CIRCEO;VIA GIOVANNI SCHIAPARELLI, 3;SOC. IL CARRUBO SRL;SB;Conc. N. 173/2009;IL CARRUBO;3199,86;193,41;;;193,41;67;
8;SAN FELICE CIRCEO;LUNGOMARE CIRCE, 66;SOC. VI.MA. SAS;SB;Conc. N. 155/2008;LA BUSSOLA;7670,75;322,6;386,65;;709,25;136;315
9;SAN FELICE CIRCEO;VIALE DELLA PRIMAVERA, 67;FABIO BERARDINI;SB;Conc. N. 125/2007;CONTROVENTO;1570,4;279,6;;;279,6;55;
10;SAN FELICE CIRCEO;VIA LITORANEA;COOPERATIVA IL CORMORANO A R.L.;SB;Conc. N. 165/09;IL CORMORANO;4571,03;928,97;;;928,97;100;360
11;SAN FELICE CIRCEO;VIA ULISSE, 25;SOC. LA PALMA SNC;SB;Conc. N. 140/08;LA PALMA;1527,35;508,65;;;508,65;70;
12;SAN FELICE CIRCEO;VIA DI VILLA RICOTTI, 36;CLUB NAUTICO SOLEMARE;SA;Conc. N. 148/08;CLUB NAUTICO SOLEMARE;1073;;;;;31;
13;SAN FELICE CIRCEO;VIA DELLE SIRENE, 39;SOC. MARE PRIMO SRL;SB;Conc. N. 172/09;LA LUCCIOLA;7394,58;910,92;;;910,92;135;
14;SAN FELICE CIRCEO;VIALE G. VERDI, 102;SERGIO DE PROSPERI;SB;Conc. N. 122/07;L'ANCORA;1900,8;599,2;;;599,2;45;
15;SAN FELICE CIRCEO;PIAZZALE ENRICO FABRIZI;SOC LA SCOGLIERA DI FEDERICI FABRIZIO & C. SNC;ER;Conc. N. 95/05;LA SCOGLIERA;144;;;;;;
16;SAN FELICE CIRCEO;VIA LUNGOMARE CIRCE, 68;SOC. D & D SRL PIETROCARLO GIOVANNI;SB;Conc. N. 150/08;VIVA BEACH;4912,2;907,8;;;907,8;100;300
17;SAN FELICE CIRCEO;VIA TERRACINA KM. 11;SOC. OLYMPIA FARM SRL;SB;Conc. N. 171/09;VERDEMARE;1500;;;;;95;
18;SAN FELICE CIRCEO;VIA DUCA D'AOSTA, 7;PIETRO FELICE CAPPONI;SB;Conc. N. 119/07;IL VELIERO;3196,8;803,2;;;803,2;55;
19;SAN FELICE CIRCEO;LUNGOMARE CIRCE, 13;SOC. LA CONCHIGLIA SRL;SR;Conc. N. 139/08;LA CONCHIGLIA;1421;8,85;2,81;;11,66;36;
20;SAN FELICE CIRCEO;VIALE EUROPA, 9;SOC. IL GINEPRO SAS DI MARTINOLI ANGELICA;SB;Conc. N. 176/09;CAPO CIRCEO;1153,29;245,71;;;245,71;33;
21;SAN FELICE CIRCEO;LUNGOMARE CIRCE, 21;SOC. LISA SNC;SB;Conc. N. 183/2010;LISA;3133,93;616,07;154,8;;770,87;100;
22;SAN FELICE CIRCEO;VIALE REGINA ELENA, 76;VILLAGGIO DELLA MERCEDE;SA;Conc. N. 135/08;VILLAGGIO DELLA MERCEDE;3192;112;;;112;56;
23;SAN FELICE CIRCEO;VIA MOLELLA, 102;SOC. STABILIMENTO BALNEARE LA SIRENA DI FACCIO ANTONELLA REGINA & C.;SB;Conc. N. 152/08;LA SIRENA;3017,9;642,1;;;642,1;60;
24;SAN FELICE CIRCEO;VIA OVOLI, 50;SOC. IL GABBIANO DI MONTEBUGNOLI ROBERTO & C. SNC;SB;Conc. N. 142/08;IL GABBIANO;3767,4;725,6;;;725,6;54;
25;SAN FELICE CIRCEO;VIALE EUROPA, 57;PAOLO LUCCI;SB;Conc. N. 159/08;EUROPA BEACH;4979;339;;;339;87;
26;SAN FELICE CIRCEO;VIA G. LEOPARDI, 34;SOC. STABIIMENTO BALNEARE L'OASI DI MARTOCCI FERDINANDO & C.;SB;Conc. N. 157/08;L'OASI;3454,96;356,04;;;356,04;72;
27;SAN FELICE CIRCEO;VIA IV NOVEMBRE, 50;SOC. IL DELFINO DI FEBBI RAIMONDO & C. SAS;SB;Conc. N. 158/08;IL DELFINO;4578,3;925,67;;;925,67;70;
28;SAN FELICE CIRCEO;VIA DEL PRINCIPE 42/A;SOC. DA FRANCO DI MARZELLA SABRINA & C. SAS;SB;Conc. N. 137/08;DA FRANCO;2950;40;;;40;95;
29;SAN FELICE CIRCEO;VIA MANZONI, 20;ASSOCIAZIONE I.H.H.O. ITALIANA;SB;Conc. N. 151/08;VOGLIA DI MARE;1785,39;389,61;;;389,61;50;
30;SAN FELICE CIRCEO;PIAZZA A. VALENTE;SOC. FADE SRL;SR;Conc. N. 137/08;IL FARO;450;;;;;54;
31;SAN FELICE CIRCEO;VIA TERRACINA , 144;LEGA NAVALE ITALIANA;SB;Conc. N. 143/08;;1954,3;532,7;;;532,7;100;
32;SAN FELICE CIRCEO;VIA AMMIRAGLIO BERGAMINI, 146;SOC. L'ATTRACCO SRL;ER;Conc. N. 200/2013;;146;;;;;;
33;SAN FELICE CIRCEO;LUNGOMARE CIRCE, 49;SOC. S.A.C. SRL;SR;Conc. N. 189/11;HOTEL CIRCEO;3273,52;;959,56;864,86;1824,42;112;1845
34;SAN FELICE CIRCEO;VIA C. COLOMBO, 28;SOC. SUPERTI IMMOBILIALE SRL;SA;Conc. N. 191/11;VILLA PENELOPE E VILLA CIRCE;1185;;13,2;;13,2;118,5;
35;SAN FELICE CIRCEO;VIALE EUROPA, 51;SOC. ELLERRECCI SAS DI MASTRACCI LORETO;SB;Conc. N. 121/07;LA ROSA DEI VENTI;4230,35;269,65;;;269,65;50;
36;SAN FELICE CIRCEO;VIA MONTENERO, 48;SOC. MA.LA. SAS DI MARTUFI MARIO;SB;Conc. N. 123/07;LA CALETTA;3813,97;486,03;;;486,03;66,55;
37;SAN FELICE CIRCEO;LUNGOMARE CIRCE, 64;SOC. LO SCRIGNO SRL UNIPERSONALE;SB;Conc. N. 186/2010;BAIA FELIX;932,75;467,25;;;467,25;66,5;
38;SAN FELICE CIRCEO;VIALE EUROPA;CIRCEO YACHT VELA CLUB;ARS;Conc. N. 111/06;;585;15;;;15;;
39;SAN FELICE CIRCEO;VIA TERRACINA, 110;COOPERATIVA SIRENETTA DUE;SA;Conc. N. 113/06;SIRENETTA DUE;264;;;;;12;
40;SAN FELICE CIRCEO;VIA LUNGOMARE CIRCE, 64;SOC. GE.KA. SAS DI BOUZAN KAMAL;ER;Conc. N. 197/2012;;;;332,2;;332,2;;
41;SAN FELICE CIRCEO;S.S. 148 KM. 91,300;SOC. BORA BORA SAS DI LIVI DANIELE & C.;SB;Conc. N. 190/2011;BORA BORA;1223,55;76,42;;;76,42;32;
42;SAN FELICE CIRCEO;VIALE EUROPA;SOC. EOS SRL;SB;Conc. N. 179/09;EOS;4575,14;1057,86;;;1057,86;100;
43;SAN FELICE CIRCEO;VIA DELLE BATTERIE, 37;SOC. G.R.A.P.E. SRL;SR;Conc. N. 182/2010;HOTEL PUNTA ROSSA;2064,9;;;;;;468,37
44;SAN FELICE CIRCEO;VIA AMMIRAGLIO BERGAMINI, 132;CIRCEO 1 SOCIETA' COOPERATIVA;PO;Conc. N. 181/2010;;;281,25;;;281,25;;
45;SAN FELICE CIRCEO;VIA AMMIRAGLIO BERGAMINI, 132;CIRCEO 1 SOCIETA' COOPERATIVA;PO;Conc. N. 203/2013;;;1460,8;;;1460,8;;20374
46;SAN FELICE CIRCEO;VIA MONTENERO, 121;CIRCEO SPIAGGE SRL UNINOMINALE;SB;Conc. N. 186/10;MARESIA;3689,37;509,8;148,83;;658,63;70;
47;SAN FELICE CIRCEO;VIA T. TITTONI, 179;CIRCEO FISHING CLUB;ARS;Conc. N. 06/08;;;37,8;;;37,8;;394,2
1;SANTA MARINELLA;TOSCANA VIA AURELIA KM. 56;MICHELI OMAR;NIAB;Conc. N. 14 DEL 07/05/2014;PURA VIDA;;6;;;6;;
2;SANTA MARINELLA;SANTA MARINELLA LUNGOMARE MARCONI, 113;IST. SUORE CARMELITANE MISSIONARIE DI S. TERESA DEL BAMBIN GESU';SR;Conc. N. 21 DEL 15/05/2014;IST. SUORE CARMELITANE MISS. DI S. TERESA DEL BAMBIN GESU';225;;;;;;
3;SANTA MARINELLA;SANTA MARINELLA LOC.TA' FOSSO CUPO;YACHT CLUB SANTA MARINELLA;ARS;Conc. N. 27 DEL 16/07/2014;YACHT CLUB SANTA MARINELLA;;78,2;;;78,2;;
4;SANTA MARINELLA;SANTA MARINELLA LOC.TA' PASSEGGIATA;MARE BLU SRL;ER;Conc. N. 42/2003;GIGI BAR;;;42,5;;42,5;;
5;SANTA MARINELLA;SANTA MARINELLA LUNGOMARE MARCONI, 113;ISTITUTO BOCCONE DEL POVERO;SR;Conc. N. 45 DEL 06/10/2014;BOCCONE DEL POVERO;113;;;55;55;;
6;SANTA MARINELLA;SANTA MARINELLA LUNGOMARE MARCONI, 23;HOTEL LE NAJADI DI GRIMALDI CESARE E FIORELLA & C. SNC;SB;Conc. N. 47 DEL 24/06/2014;LE NAJADI;;29,9;;1254,27;1284,17;;855,83
7;SANTA MARINELLA;SANTA SEVERA LUNGOMARE PYRGI;ASSOCIAZIONE VELICA E MOTONAUTICA SANTA SEVERA;ARS;Conc. N. 53 DEL 16/07/2014;VELICA;3818,42;269;;312,58;581,58;;1000
8;SANTA MARINELLA;SANTA MARINELLA LUNGOMARE MARCONI, 9;LE PALME SRL;SR;Conc. N. 65 DEL 17/04/2015;VILLA DELLE PALME;;;300;;300;;
9;SANTA MARINELLA;VIA AURELIA Km.60+100;BIANCHI ANDREA;ER;Conc. N. 68 DEL 08/05/2014;LA ROSA DEI VENTI;;87,45;;;87,45;;
10;SANTA MARINELLA;LUNGOMARE MARCONI CAPOLINARO;ASSOCIAZIONE SPORTIVA CIRCOLO LA VELA;ARS;Conc. N. 69 DEL24/06/2014;LA VELA;72;6,6;560,9;162,23;729,73;;2023,6
11;SANTA MARINELLA;TOSCANA VIA AURELIA KM. 56;BUGI ROSINDO;ER;Conc. N. 77 DEL02/07/2014;LA TOSCANA;158,4;21,6;;;21,6;;
12;SANTA MARINELLA;SANTA SEVERA LUNGOMARE PYRGI;SNC ROMEO DI DEGLI ESPOSTI ALDO ROMEO;SB;Conc. N. 80 DEL 14/05/2014;ROMEO;2371;;894;;894;90;2000
13;SANTA MARINELLA;VIA AURELIA Km.58+840;LA SASSOLA DI MENEGHINI CAMILLA SNC;ER;Conc. N. 92 DEL14/05/2014;LA SASSOLA;;92,7;;;92,7;;
14;SANTA MARINELLA;VIA AURELIA LOCALITA' MARANGONE;GAROFOLO ANGELO;ER;Conc. N. 93 DEL 15/04/2015;MARANGONE BEACH;;45;219;;264;;
15;SANTA MARINELLA;SANTA SEVERA LOCALITA' GROTTINI;LE DUE BAIE SRL;SB;Conc. N. 94 DEL 02/07/2014;LE DUE BAIE;1828,15;286,8;;;286,8;92;2089
16;SANTA MARINELLA;SANTA MARINELLA LOCALITA' TORRE CHIARUGGIA;CENTRO MEDICO SOCIALE PER INVALIDI CIVILI REGINA COELORUM;SR;Conc. N. 95 DEL 12/01/2015;REGINA COELORUM;368,82;31,18;;;31,18;;
17;SANTA MARINELLA;SANTA MARINELLA VIA AURELIA  km.57+600;IST. MATER GRATIE DELLE SERVE DI MARIA RIPARATRICE;SR;Conc. N. 96 DEL 08/05/2014;VILLA LESSONA MATER GRATIAE;2000;;;;;;1480
18;SANTA MARINELLA;SANTA MARINELLA VIA AURELIA km.55+200;ISTITUTO MARIA CONSOLATRICE;SR;Conc. N. 97 DEL 26/05/2014;MARIA CONSOLATRICE;410;;;;;;
19;SANTA MARINELLA;SANTA SEVERA;IST. SAN GAETANO DELLE SUORE ORSOLINE;SR;Conc. N. 104 DEL 26/05/2014;SAN GAETANO;1643,02;56,98;;;56,98;100;
20;SANTA MARINELLA;SANTA SEVERA LOCALITA' GROTTINI;COLETTI MASSIMO;SB;Conc. N. 105 DEL 26/05/2014;IL TIRRENO;983;119,97;;;119,97;41,5;
21;SANTA MARINELLA;SANTA SEVERA LOCALITA' GROTTINI VIA MINCIO;CENTRO NAUTICO TIRRENO SRL;PO;Conc. N. 107 DEL 26/05/2014;RIMESSAGGIO;1096,5;3,5;;;3,5;;1000
22;SANTA MARINELLA;SANTA MARINELLA LUNGOMARE MARCONI;CAPOLINARO SRL;SB;Conc. N. 108 DEL 02/07/2014;CAPOLINARO;1299,55;28,64;88,46;49,35;166,45;133;5450
23;SANTA MARINELLA;SANTA MARINELLA LUNGOMARE MARCONI;MEINI FRANCESCA;SA;Conc. N. 112 DEL 26/05/2014;LONDRINA;1067,26;5;;;5;60;
24;SANTA MARINELLA;VIA AURELIA LOC. FOSSO VOLPELLE;SEBASTIANI VALERIO;ER;Conc. N. 119 DEL 28/03/2015;BUMBA BEACH;;87,35;29,73;;117,08;;
25;SANTA MARINELLA;VIA AURELIA Km.64+920;TASSELLI MARIO;ER;Conc. N. 123 DEL 07/05/2014;LA SPIAGGIA;;27,5;22,4;;49,9;;1585
26;SANTA MARINELLA;SANTA SEVERA LUNGOMARE PYRGI;L'OASI DI BOMBA TEMISTOCLE E FIGLI;SB;Conc. N. 128 DEL 08/05/2014;L'OASI;744,4;28,5;164,3;;192,8;44;
27;SANTA MARINELLA;SANTA SEVERA LUNGOMARE PYRGI;F.LLI QUARTIERI SRL;SB;Conc. N. 130 DEL 07/05/2014;PINO AL MARE;1388;398;;;398;90,3;
28;SANTA MARINELLA;SANTA MARINELLA LOC.TA' PASSEGGIATA;LA MARINELLA SRL;SB;Conc. N. 135 DEL 12/05/2014;LA MARINELLA;1720;;396;125;521;84;665
29;SANTA MARINELLA;SANTA MARINELLA LUNGOMARE MARCONI;ANGELO DI ROMITELLI MASSIMILIANO & C. SAS;SB;Conc. N. 139 DEL 02/07/2014;ANGELETTO;802,2;93,3;66,8;;160,1;83;
30;SANTA MARINELLA;SANTA MARINELLA LUNGOMARE MARCONI;CIRCOLO NAUTICO SPORTIVO CAPO LINARO;ARS;Conc. N. 140  DEL 24/06/2014;CLUB CLEBBINO;;;177,48;1118,94;1296,42;;1196,12
31;SANTA MARINELLA;SANTA MARINELLA VIA AURELIA 318;LIDO DI VERZILLI BENITO VITTORIO SAS;SB;Conc. N. 146 DEL 12/05/2014;LIDO;1283,87;88,4;;408;496,4;37,5;
32;SANTA MARINELLA;SANTA MARINELLA VIA AURELIA 314;SIRENETTA SRL;SB;Conc. N. 147 DEL 02/07/2014;LA SIRENETTA;1055,3;;378,5;396,9;775,4;50,5;
33;SANTA MARINELLA;SANTA MARINELLA LUNGOMARE MARCONI;DI GIUSEPPE ENRICA;ER;Conc. N. 149/ DEL 15/04/2015;LA GATTA A MARE;;;99,48;;99,48;;
34;SANTA MARINELLA;SANTA MARINELLA VIA PUNICO LATO MARE;PIRGUS SRL;SB;Conc. N. 151  DEL 07/05/2014;PIRGUS;728;10;304;260,5;574,5;110;
35;SANTA MARINELLA;SANTA MARINELLA LOC.TA' PASSEGGIATA;LA CONCHIGLIA DI BARACCO ANNA RITA E SALERNI ROSANNA SNC;SB;Conc. N. 153 DEL 24/06/2014;LA CONCHIGLIA;1261,07;;;288,93;288,93;78;240
36;SANTA MARINELLA;SANTA SEVERA LUNGOMARE PYRGI;NEW BARRACUDA SRL;SB;Conc. N. 154 DEL 26/05/2014;BARRACUDA;2389;;540;525;1065;124;
37;SANTA MARINELLA;SANTA MARINELLA VIA AURELIA Km.60+400;ROSES HOTEL'S S.R.L.;SR;Conc. N. 155 DEL 26/05/2014;HOTEL DEL SOLE;150;;;;;;
38;SANTA MARINELLA;SANTA MARINELLA LOC.TA' PASSEGGIATA;VERZILLI DANILA;SB;Conc. N. 158  DEL 08/05/2014;TRIESTE;250;12,54;56,66;60,84;130,04;25;
39;SANTA MARINELLA;SANTA SEVERA;GALLI GIUSEPPE;SB;Conc. N. 172  DEL 07/05/2014;LA SCOGLIERA;1339,89;124,62;332,24;;456,86;66,9;
40;SANTA MARINELLA;SANTA SEVERA;"ASSOCIAZIONE SPORTIVA DILETTANTISTICA ""IL MOLETTO""";ARS;Conc. N. 174 DEL 12/05/2014;IL MOLETTO;579,69;35,04;331,46;;366,5;;2460
41;SANTA MARINELLA;SANTA MARINELLA VIA AURELIA Km.64;LA ROTONDA BEACH SRL;SB;Conc. N. 175 DEL 07/05/2014;MIKONOS;913,13;104,34;31;;135,34;79,4;1910
42;SANTA MARINELLA;SANTA SEVERA VIA ISONZO;ECO DEL MARE SRL;SB;Conc. N. 176  DEL 07/05/2014;ECO DEL MARE;1507;32;18;;50;;
43;SANTA MARINELLA;SANTA SEVERA LUNGOMARE PYRGI;CORVACE GRAZIA;SB;Conc. N. 183 DEL 15/05/2014;NEW BARTOLINI;1594,5;4,41;248,09;;252,5;87,55;
44;SANTA MARINELLA;SANTA SEVERA LUNGOMARE PYRGI;BARONE ROBERTO E LA FERLA;SB;Conc. N. 185 DEL 08/05/2014;LIDO;1932,8;;4;498,55;502,55;81,15;
45;SANTA MARINELLA;SANTA SEVERA LUNGOMARE PYRGI;BRUNORI UBALDO;SB;Conc. N. 187 DEL 07/05/2014;UBALDO;872,83;31,44;107,73;;139,17;51;
46;SANTA MARINELLA;SANTA MARINELLA LUNGOMARE MARCONI;ROSES HOTEL'S S.R.L.;SR;Conc. N. 189 DEL 15/05/2014;CAVALLUCCIO MARINO;587,55;;217,45;;217,45;;
47;SANTA MARINELLA;SANTA MARINELLA LOC.TA' PASSEGGIATA;A.G.F. SRL;SB;Conc. N. 194/2011;PERLA DEL TIRRENO;2722;;445;;445;180;
48;SANTA MARINELLA;SANTA SEVERA LUNGOMARE PYRGI;COMUNE DI SANTA MARINELLA;SA;Conc. N. 195/2009;SPIAGGIA COMUNALE;2000;;;;;100;
49;SANTA MARINELLA;SANTA SEVERA LUNGOMARE PYRGI;RIGHETTO ROSETTA ANGELA;SB;Conc. N. 196 DEL 07/05/2014;IL MARINAIO;;73,8;232,54;;306,34;;
50;SANTA MARINELLA;SANTA MARINELLA VIA AURELIA Km.66;D'ANDREA FLORIANA;SB;Conc. N. 201/2009;LITTLE PARADISE;717;106,2;;;106,2;69,2;1800
51;SANTA MARINELLA;SANTA MARINELLA LUNGOMARE MARCONI;TRASA DI TRAVERSO MARA  & C. SNC;SB;Conc. N. 202 DEL 12/05/2014;LA GATTA;733,17;63,19;;185,76;248,95;62,16;3741
52;SANTA MARINELLA;SANTA MARINELLA LUNGOMARE MARCONI;PALLASSINI ANNA MARIA;PO;Conc. N. 203 DEL 08/05/2014;FRINCHILLUCCI/CHALET PALLASSINI;;98,72;125;;223,72;14;2856
53;SANTA MARINELLA;SANTA MARINELLA VIA AURELIA Km.58+700;S.D.M. DI VALERIO D'ANDREA & C. SAS;ER;Conc. N. 205 DEL 15/05/2014;AL 58;;14;87,64;;101,64;;
54;SANTA MARINELLA;SANTA MARINELLA VIA UMBRATO NOBILE;FANS DI FELLIGIONI NADIA & C.;ER;Conc. N. 211/2008;IDARELLA;;39,24;57,78;;97,02;;
55;SANTA MARINELLA;SANTA MARINELLA LUNGOMARE MARCONI;EDILIZIA PIRGUS SRL;ER;Conc. N. 221/2010;EDILIZIA PIRGUS SRL;;;79,01;31;110,01;;
56;SANTA MARINELLA;SANTA MARINELLA LOC. PORTO ODESCALCHI;MARZOLA MARIA LIVERINI MANUEL E MARCO;ER;Conc. N. 228 DEL 10/11/2014;L'APPRODO;;108,842;79,048;;187,89;;
1;SPERLONGA;LOCALITA' CANZATORA;DEL BONO BENEDETTO;SB;Conc. N. 09/2004;LIDO LA BUSSOLA;906,39;87,35;278,76;;366,11;80;
2;SPERLONGA;LUNGOMARE C. COLOMBO;SOC. LA LANTERNA DI FAIOLA PAOLO & C.;SB;Conc. N. 05/2002;LIDO LA LANTERNA;2367,44;;407;154;561;104,5;
3;SPERLONGA;LUNGOMARE C. COLOMBO;ALBERGO-RISTORANTE AMYCLAE S.A.S.;SA;Conc. N. 14/2002;ALBERGO AMYCLAE;1471;;;;;59;
4;SPERLONGA;LUNGOMARE C. COLOMBO;HOTEL AURORA S.N.C.;SA;Conc. N. 01/2012;ALBERGO AURORA;1555;;;;;52,5;
5;SPERLONGA;LOCALITA' ANGOLO;FERRANTE PATRIZIA;SB;Conc. N. 03/2005;LIDO ALTA MAREA;3015,28;134,72;;;134,72;50;
6;SPERLONGA;LOCALITA' GROTTA DI TIBERIO;ROSATO RAFFAELE;SB;Conc. N. 04/2005;LIDO LO SQUALO;1560;199;;;199;60;
7;SPERLONGA;SPIAGGIA DI PONENTE;GRA.LO BAJAZUR S.A.S.DI GRANATA ANNUNZIATA;SB;Conc. N. 26/2005;LIDO BLUMARINE;2368;;284,04;313,96;598;90;
8;SPERLONGA;LOCALITA' CANZATORA;S.A.S.GRAZIA DI BIANCHINI MARINA & C.;SA;Conc. N. 01/2005;HOTEL GRAZIA;840;;;;;30;
9;SPERLONGA;LOCALITA' SALETTE;L'OASI DI ANTONIO MAGLIOZZI & C. S.A.S.;SB;Conc. N. 18/2005;LIDO L'OASI;2875,2;88,8;;;88,8;114;
10;SPERLONGA;LOCALITA' BAZZANO;DEL VECCHIO ALBERTO;SB;Conc. N. 20/2012;LIDO COSTADORO;1050;;;;;50;
11;SPERLONGA;LOCALITA' FOSSATO;LA SIRENELLA S.R.L.;SA;Conc. N. 06/2008;ALBERGO LA SIRENELLA;2175;;122;;122;43,78;
12;SPERLONGA;LOCALITA' SALETTE;SOCIETA' BAIA VERDE S.A.S.;SB;Conc. N. 20/2003;LIDO BAIA VERDE;515;;;;;95,8;
13;SPERLONGA;LOCALITA' SALETTE;DI MILLE COSMO;SA;Conc. N. 05/2003;PARK-HOTEL FIORELLE;600;;;;;60;
14;SPERLONGA;LOCALITA' PALLANTE;BEI ANDREA & FERRANTE ALESSANDRA;SB;Conc. N. 01/2011;LIDO DI ULISSE;1399,42;160,68;;;160,68;45;
